,Balance Sheet: Repos ($ Mil),Balance Sheet: Reverse Repos ($ Mil),Balance Sheet: Repos - Reverse Repos ($ Mil)
0,,,
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,33625.0,21150.5,12474.5
12,32100.0,18920.4,13179.599999999999
13,27185.5,17715.25,9470.25
14,23625.0,18133.0,5492.0
15,30350.2,20125.2,10225.0
16,27813.5,21076.5,6737.0
17,26625.0,21844.25,4780.75
18,27500.0,20126.6,7373.4000000000015
19,26437.5,19415.75,7021.75
20,27750.0,19062.25,8687.75
21,28050.0,19416.0,8634.0
22,24625.0,18561.0,6064.0
23,31600.0,20153.6,11446.400000000001
24,28250.0,20184.25,8065.75
25,21375.0,19827.0,1548.0
26,23700.0,19707.0,3993.0
27,27425.0,19372.75,8052.25
28,25562.5,19242.0,6320.5
29,27450.0,18979.6,8470.400000000001
30,25125.0,19733.0,5392.0
31,18500.0,20869.5,-2369.5
32,31400.0,24060.2,7339.799999999999
33,24062.5,25331.25,-1268.75
34,28187.5,27448.0,739.5
35,31600.0,28310.0,3290.0
36,26000.0,28636.5,-2636.5
37,20625.0,25761.75,-5136.75
38,25500.0,24785.2,714.7999999999993
39,25687.5,23978.0,1709.5
40,25562.5,25683.25,-120.75
41,28650.0,23886.8,4763.200000000001
42,31000.0,26383.5,4616.5
43,29300.0,24063.8,5236.200000000001
44,28500.0,24729.0,3771.0
45,19250.0,25238.75,-5988.75
46,25350.0,25964.0,-614.0
47,37625.0,27875.25,9749.75
48,29937.5,24751.75,5185.75
49,25312.5,23265.75,2046.75
50,25850.0,23869.0,1981.0
51,21500.0,23794.5,-2294.5
52,24200.0,23797.6,402.40000000000146
53,23937.5,26462.0,-2524.5
54,24750.0,28919.75,-4169.75
55,24100.0,27360.8,-3260.7999999999993
56,19562.5,28441.5,-8879.0
57,24812.5,30968.0,-6155.5
58,33550.0,31099.0,2451.0
59,30687.5,29842.5,845.0
60,26400.0,30303.2,-3903.2000000000007
61,32250.0,37188.75,-4938.75
62,35000.0,38413.75,-3413.75
63,29687.5,34401.25,-4713.75
64,31450.0,35351.0,-3901.0
65,22875.0,31056.25,-8181.25
66,24187.5,31780.25,-7592.75
67,24050.0,30957.0,-6907.0
68,42187.5,35031.25,7156.25
69,43200.0,35907.2,7292.800000000003
70,49625.0,35179.0,14446.0
71,48625.0,37846.5,10778.5
72,39650.0,39348.2,301.8000000000029
73,34187.5,39100.25,-4912.75
74,74500.0,41993.5,32506.5
75,105050.0,40223.0,64827.0
76,119875.0,38384.0,81491.0
77,125312.5,41433.25,83879.25
78,112750.0,42397.2,70352.8
79,108687.5,43686.0,65001.5
80,104937.5,55839.5,49098.0
81,84600.0,93774.6,-9174.600000000006
82,80000.0,100412.75,-20412.75
83,80000.0,86536.6,-6536.600000000006
