DATE,Avg Hourly Wage Durable Good Mfg.,Job Quits (x1000) Durable Goods Mfg,Job Hires (x1000) Durable Goods Mfg,Job Openings (x1000) Durable Good Mfg,Civilian Labor Participation Rate,Civilian Labor Population (x1000)
2007-01-01,22.2,134.0,223.0,213.0,66.4,153144
2007-02-01,22.31,116.0,226.0,224.0,66.3,152983
2007-03-01,22.29,126.0,217.0,237.0,66.2,153051
2007-04-01,22.41,112.0,218.0,217.0,65.9,152435
2007-05-01,22.43,124.0,224.0,218.0,66.0,152670
2007-06-01,22.55,112.0,229.0,222.0,66.0,153041
2007-07-01,22.58,95.0,214.0,233.0,66.0,153054
2007-08-01,22.66,116.0,220.0,208.0,65.8,152749
2007-09-01,22.69,105.0,217.0,190.0,66.0,153414
2007-10-01,22.61,118.0,224.0,165.0,65.8,153183
2007-11-01,22.7,108.0,228.0,187.0,66.0,153835
2007-12-01,22.82,114.0,189.0,167.0,66.0,153918
2008-01-01,22.73,102.0,193.0,170.0,66.2,154063
2008-02-01,22.92,111.0,176.0,144.0,66.0,153653
2008-03-01,23.01,106.0,178.0,146.0,66.1,153908
2008-04-01,23.0,107.0,199.0,161.0,65.9,153769
2008-05-01,23.16,81.0,181.0,164.0,66.1,154303
2008-06-01,23.29,90.0,174.0,147.0,66.1,154313
2008-07-01,23.27,67.0,152.0,138.0,66.1,154469
2008-08-01,23.37,74.0,171.0,144.0,66.1,154641
2008-09-01,23.42,84.0,173.0,124.0,66.0,154570
2008-10-01,23.63,82.0,182.0,137.0,66.0,154876
2008-11-01,23.82,71.0,133.0,107.0,65.9,154639
2008-12-01,23.88,60.0,161.0,92.0,65.8,154655
2009-01-01,24.05,57.0,95.0,54.0,65.7,154210
2009-02-01,24.27,48.0,142.0,72.0,65.8,154538
2009-03-01,24.41,40.0,140.0,60.0,65.6,154133
2009-04-01,24.5,39.0,118.0,42.0,65.7,154509
2009-05-01,24.5,42.0,67.0,48.0,65.7,154747
2009-06-01,24.54,40.0,90.0,45.0,65.7,154716
2009-07-01,24.67,43.0,130.0,42.0,65.5,154502
2009-08-01,24.65,43.0,124.0,57.0,65.4,154307
2009-09-01,24.69,43.0,143.0,70.0,65.1,153827
2009-10-01,24.67,35.0,120.0,67.0,65.0,153784
2009-11-01,24.73,36.0,134.0,79.0,65.0,153878
2009-12-01,24.69,33.0,138.0,94.0,64.6,153111
2010-01-01,24.69,40.0,133.0,79.0,64.8,153484
2010-02-01,24.76,55.0,140.0,101.0,64.9,153694
2010-03-01,24.68,39.0,140.0,95.0,64.9,153954
2010-04-01,24.69,43.0,161.0,109.0,65.2,154622
2010-05-01,24.79,41.0,145.0,122.0,64.9,154091
2010-06-01,24.71,56.0,145.0,128.0,64.6,153616
2010-07-01,24.83,49.0,162.0,142.0,64.6,153691
2010-08-01,24.88,50.0,154.0,128.0,64.7,154086
2010-09-01,24.88,45.0,144.0,128.0,64.6,153975
2010-10-01,24.96,47.0,151.0,138.0,64.4,153635
2010-11-01,24.91,48.0,159.0,168.0,64.6,154125
2010-12-01,24.99,55.0,155.0,135.0,64.3,153650
2011-01-01,25.13,53.0,153.0,145.0,64.2,153263
2011-02-01,25.0,53.0,163.0,142.0,64.1,153214
2011-03-01,25.06,59.0,152.0,142.0,64.2,153376
2011-04-01,25.11,53.0,148.0,148.0,64.2,153543
2011-05-01,25.2,58.0,158.0,141.0,64.1,153479
2011-06-01,25.19,56.0,150.0,146.0,64.0,153346
2011-07-01,25.28,50.0,143.0,153.0,64.0,153288
2011-08-01,25.22,48.0,147.0,165.0,64.1,153760
2011-09-01,25.25,49.0,143.0,171.0,64.2,154131
2011-10-01,25.41,55.0,147.0,154.0,64.1,153961
2011-11-01,25.22,62.0,138.0,158.0,64.1,154128
2011-12-01,25.27,57.0,156.0,160.0,64.0,153995
2012-01-01,25.29,53.0,156.0,179.0,63.7,154381
2012-02-01,25.26,57.0,152.0,165.0,63.8,154671
2012-03-01,25.26,62.0,168.0,193.0,63.8,154749
2012-04-01,25.32,63.0,155.0,150.0,63.7,154545
2012-05-01,25.15,59.0,142.0,205.0,63.7,154866
2012-06-01,25.24,60.0,166.0,189.0,63.8,155083
2012-07-01,25.28,55.0,146.0,168.0,63.7,154948
2012-08-01,25.3,66.0,136.0,155.0,63.5,154763
