DATE,Fed-held Mortgage-backed Securities,Fed Total Assets,Currency in Circulation (Billions)
2015-01-01,,,1333.447
2015-01-07,1736839.0,4499524.0,
2015-01-14,1751734.0,4516077.0,
2015-01-21,1750532.0,4512936.0,
2015-01-28,1738672.0,4500064.0,
2015-02-01,,,1341.256
2015-02-04,1738680.0,4500348.0,
2015-02-11,1738696.0,4501685.0,
2015-02-18,1749027.0,4496851.0,
2015-02-25,1740208.0,4486725.0,
2015-03-01,,,1354.764
2015-03-04,1740225.0,4487583.0,
2015-03-11,1740252.0,4489279.0,
2015-03-18,1745914.0,4495888.0,
2015-03-25,1731909.0,4480603.0,
2015-04-01,1731928.0,4481799.0,1359.926
2015-04-08,1731930.0,4483419.0,
2015-04-15,1734434.0,4485366.0,
2015-04-22,1737070.0,4489695.0,
2015-04-29,1718850.0,4471499.0,
2015-05-01,,,1364.57
2015-05-06,1718860.0,4472703.0,
2015-05-13,1743840.0,4501188.0,
2015-05-20,1737463.0,4480384.0,
2015-05-27,1722434.0,4463981.0,
2015-06-01,,,1366.158
2015-06-03,1722436.0,4465360.0,
2015-06-10,1722437.0,4468005.0,
2015-06-17,1740877.0,4487817.0,
2015-06-24,1746393.0,4495055.0,
2015-07-01,1732060.0,4479130.0,1369.775
2015-07-08,1732060.0,4481289.0,
2015-07-15,1743807.0,4493605.0,
2015-07-22,1749460.0,4500503.0,
2015-07-29,1734834.0,4485480.0,
2015-08-01,,,1375.053
2015-08-05,1734861.0,4486329.0,
2015-08-12,1734884.0,4489250.0,
2015-08-19,1748075.0,4487208.0,
2015-08-26,1736612.0,4475105.0,
2015-09-01,,,1383.872
2015-09-02,1736684.0,4475886.0,
2015-09-09,1736706.0,4478213.0,
2015-09-16,1745119.0,4487809.0,
2015-09-23,1752619.0,4497484.0,
2015-09-30,1741233.0,4484111.0,
2015-10-01,,,1391.429
2015-10-07,1741249.0,4486185.0,
2015-10-14,1756488.0,4504704.0,
2015-10-21,1755197.0,4501372.0,
2015-10-28,1744091.0,4489339.0,
2015-11-01,,,1402.991
2015-11-04,1744102.0,4489702.0,
2015-11-11,1744103.0,4492012.0,
2015-11-18,1753503.0,4486721.0,
