DATE,Global Alumuminum $USD Per Metic Ton,Cold-Rolled Steel PPI,Electronic Wire and Cable PPI,Hot-Rolled Steel PPI
2000-01-01,1679.85,115.4,139.0,113.1
2000-02-01,1679.425,116.8,139.6,114.0
2000-03-01,1579.64,117.2,139.0,114.3
2000-04-01,1458.745,119.3,137.5,115.4
2000-05-01,1468.0652173913,121.0,141.1,114.9
2000-06-01,1509.37272727273,120.1,151.6,115.4
2000-07-01,1564.37619047619,120.2,152.1,114.8
2000-08-01,1530.3347826087,119.0,157.4,113.5
2000-09-01,1602.30952380952,118.3,156.2,112.3
2000-10-01,1501.24545454545,117.2,156.5,111.7
2000-11-01,1475.55454545455,114.9,154.3,110.1
2000-12-01,1569.055,114.1,154.8,109.3
2001-01-01,1619.87727272727,110.6,154.4,107.0
2001-02-01,1607.03,109.1,154.4,105.6
2001-03-01,1512.17272727273,108.2,154.4,105.1
2001-04-01,1499.48333333333,107.0,153.5,104.4
2001-05-01,1542.39047619048,106.6,153.1,104.3
2001-06-01,1470.83333333333,106.8,152.7,103.4
2001-07-01,1418.62272727273,106.6,152.7,102.9
2001-08-01,1377.84545454545,105.8,152.0,102.8
2001-09-01,1345.995,105.3,151.8,102.3
2001-10-01,1283.53043478261,104.8,148.6,101.3
2001-11-01,1334.45454545455,104.4,149.5,101.2
2001-12-01,1348.72352941176,103.3,149.9,100.3
2002-01-01,1371.36363636364,100.2,149.1,100.3
2002-02-01,1371.08,101.5,149.1,100.6
2002-03-01,1404.985,102.8,148.1,103.2
2002-04-01,1370.38571428571,104.5,149.2,104.0
2002-05-01,1344.42727272727,107.1,149.0,106.7
2002-06-01,1356.93333333333,110.4,149.1,108.5
2002-07-01,1337.8652173913,113.0,149.2,110.7
2002-08-01,1293.35714285714,115.6,149.1,113.5
2002-09-01,1301.7,118.8,149.7,118.3
2002-10-01,1311.46086956522,121.1,149.5,119.4
2002-11-01,1373.26666666667,121.3,149.8,119.5
2002-12-01,1375.8619047619,121.2,149.8,119.0
2003-01-01,1379.26818181818,120.2,149.7,117.5
2003-02-01,1421.535,120.1,149.7,117.2
2003-03-01,1386.52380952381,119.5,149.7,115.8
2003-04-01,1334.29,119.1,149.4,114.8
2003-05-01,1400.3975,118.7,149.8,113.1
2003-06-01,1410.51666666667,118.0,149.8,112.3
2003-07-01,1440.88043478261,117.0,149.8,111.5
2003-08-01,1457.225,117.8,149.8,110.4
2003-09-01,1416.57727272727,118.7,150.5,110.6
2003-10-01,1477.22391304348,119.0,149.1,111.8
2003-11-01,1511.585,120.0,152.0,112.1
2003-12-01,1557.77857142857,121.0,154.6,112.6
2004-01-01,1608.89285714286,125.3,,113.0
2004-02-01,1685.225,134.9,,116.1
2004-03-01,1657.35434782609,139.7,,118.8
2004-04-01,1731.68,144.6,,123.7
2004-05-01,1625.25,153.3,,130.9
2004-06-01,1682.02954545455,149.6,,127.3
2004-07-01,1707.84090909091,154.0,173.1,131.6
2004-08-01,1692.07142857143,158.4,175.4,135.1
2004-09-01,1731.0,162.7,172.8,137.2
2004-10-01,1830.35714285714,160.6,173.5,138.5
2004-11-01,1817.34090909091,159.3,175.8,145.0
2004-12-01,1852.90952380952,164.0,176.8,145.0
2005-01-01,1836.175,168.5,170.7,150.0
2005-02-01,1882.775,172.4,171.0,148.6
2005-03-01,1987.5,171.2,173.8,139.1
2005-04-01,1891.9880952381,171.0,174.1,137.4
2005-05-01,1741.45,173.5,171.4,125.2
2005-06-01,1731.94318181818,172.2,173.1,116.1
2005-07-01,1783.2619047619,171.3,177.9,111.9
2005-08-01,1871.27272727273,162.5,174.8,103.0
2005-09-01,1837.69318181818,161.4,174.7,109.5
2005-10-01,1934.14285714286,163.1,173.5,115.3
2005-11-01,2056.97045454545,166.8,178.8,123.7
2005-12-01,2250.9,162.0,182.4,124.8
2006-01-01,2383.30238095238,162.9,183.8,133.6
2006-02-01,2453.375,164.0,184.8,131.8
2006-03-01,2432.47826086957,166.3,183.5,131.7
2006-04-01,2623.85833333333,168.5,185.7,132.4
2006-05-01,2852.07142857143,171.9,195.3,134.7
2006-06-01,2490.95454545455,186.7,201.1,141.1
2006-07-01,2511.83333333333,201.1,204.4,148.8
2006-08-01,2461.55227272727,204.8,212.3,151.3
2006-09-01,2484.38095238095,221.7,212.9,153.7
2006-10-01,2657.14772727273,231.3,213.8,152.1
2006-11-01,2702.13636363636,227.7,210.7,132.8
2006-12-01,2823.67105263158,228.8,210.4,135.2
2007-01-01,2799.05909090909,211.0,211.0,136.8
2007-02-01,2839.05,216.7,211.0,136.5
2007-03-01,2757.07954545455,220.4,213.8,138.1
2007-04-01,2817.05263157895,230.2,215.1,142.8
2007-05-01,2804.60476190476,239.2,217.6,143.1
2007-06-01,2681.30952380952,242.3,217.3,139.4
2007-07-01,2738.09090909091,240.9,219.6,139.0
2007-08-01,2512.60227272727,216.9,221.2,137.3
2007-09-01,2394.9625,210.7,218.3,133.6
2007-10-01,2444.53260869565,198.5,219.7,135.0
2007-11-01,2507.15227272727,202.1,217.5,137.5
2007-12-01,2382.83333333333,208.0,215.9,137.9
2008-01-01,2456.125,206.5,218.4,140.4
2008-02-01,2784.89285714286,196.0,220.3,145.6
2008-03-01,3012.05263157895,209.0,221.0,160.9
2008-04-01,2968.03409090909,221.8,225.5,173.9
2008-05-01,2908.2775,240.1,227.9,195.9
2008-06-01,2967.86904761905,245.1,229.1,228.9
2008-07-01,3067.45652173913,247.0,233.3,236.6
2008-08-01,2762.56,243.0,231.5,237.8
2008-09-01,2524.14772727273,238.4,232.0,227.9
2008-10-01,2122.02826086957,228.5,230.0,189.7
2008-11-01,1857.13,215.4,224.1,181.7
2008-12-01,1504.41666666667,186.2,218.4,140.2
2009-01-01,1420.35952380952,171.5,217.7,128.0
2009-02-01,1338.0625,163.0,216.9,122.6
2009-03-01,1338.07954545455,160.1,220.9,123.0
2009-04-01,1431.8125,152.8,228.0,110.4
2009-05-01,1466.67105263158,149.2,229.2,102.8
2009-06-01,1579.62727272727,149.1,227.7,108.2
2009-07-01,1670.55652173913,159.1,228.4,110.3
2009-08-01,1927.6375,167.8,229.8,118.6
2009-09-01,1835.59772727273,182.4,230.7,127.3
2009-10-01,1875.66363636364,193.2,229.9,135.9
2009-11-01,1956.54761904762,188.9,231.0,133.5
2009-12-01,2181.25714285714,190.3,233.4,134.0
2010-01-01,2230.1125,190.7,233.3,137.8
2010-02-01,2053.27,194.8,233.4,144.6
2010-03-01,2210.53043478261,197.8,237.0,152.4
2010-04-01,2314.2775,206.1,237.7,161.7
2010-05-01,2044.71052631579,221.1,237.5,170.2
2010-06-01,1929.40909090909,232.0,235.5,170.5
2010-07-01,1989.04545454545,218.0,236.0,158.1
2010-08-01,2110.44047619048,208.8,235.6,146.3
2010-09-01,2171.24318181818,206.3,239.2,145.9
2010-10-01,2342.17857142857,210.6,239.9,144.6
2010-11-01,2324.04545454545,213.5,245.7,139.2
2010-12-01,2356.66904761905,216.3,247.5,137.4
2011-01-01,2439.7,220.4,257.0,145.4
2011-02-01,2515.26,239.8,257.3,160.0
2011-03-01,2555.5,248.1,266.6,165.8
2011-04-01,2667.41666666667,257.3,266.9,169.1
2011-05-01,2587.2125,259.2,270.5,168.1
