LabSampleNumber,CropYear,FarmID,Bin,FieldNumber,Variety,CollectionSampleType,SampleHarvestDate,SugarTestProcessedDate,SpecificGravity,BudEndSucroseGramPerLiter,BudEndGlucoseGramPerLiter,StemEndSucroseGramPerLiter,StemEndGlucoseGramPerLiter,FryTestType,FryColorScore,WeightedColorScore
2019091005,2019,16,NOBIN,66390,Burbank,Unknown,9/9/2019,9/10/2019,1.071,0.4,0.13,0.49,0.53,Blanch,25,21.6
2019091005,2019,16,NOBIN,66390,Burbank,Unknown,9/9/2019,9/10/2019,1.071,0.4,0.13,0.49,0.53,Raw,14,17.7
2020120804,2020,16,BKR10,660520,Burbank,Out-of-Storage (Bin),12/8/2020,12/8/2020,1.076,0.43,0.14,0.28,1.93,Blanch,0,4.52
2020120804,2020,16,BKR10,660520,Burbank,Out-of-Storage (Bin),12/8/2020,12/8/2020,1.076,0.43,0.14,0.28,1.93,Raw,4,9.32
2019092507,2019,16,BKR10,660400,Burbank,Off Harvest Line (Loading Conveyer),9/22/2019,9/25/2019,1.095,0.96,0.09,1.06,0.71,Blanch,3,11.58
2019092507,2019,16,BKR10,660400,Burbank,Off Harvest Line (Loading Conveyer),9/22/2019,9/25/2019,1.095,0.96,0.09,1.06,0.71,Raw,6,13.77
2020120815,2020,16,BKR02,66050,Burbank,Out-of-Storage (Bin),12/8/2020,12/8/2020,1.076,0.48,0.25,0.41,0.79,Blanch,0,5.42
2020120815,2020,16,BKR02,66050,Burbank,Out-of-Storage (Bin),12/8/2020,12/8/2020,1.076,0.48,0.25,0.41,0.79,Raw,4,11.24
2021010719,2020,16,BKR11,66110,Burbank,Out-of-Storage (Bin),1/7/2021,1/7/2021,1.081,0.87,0.1,0.59,2.08,Blanch,14,13.89
2021010719,2020,16,BKR11,66110,Burbank,Out-of-Storage (Bin),1/7/2021,1/7/2021,1.081,0.87,0.1,0.59,2.08,Raw,22,19.31
2021052006,2020,16,BKR11,66110,Burbank,Out-of-Storage (Bin),5/20/2021,5/20/2021,0,0,0,0,0,Blanch,20,19.72
2021052006,2020,16,BKR11,66110,Burbank,Out-of-Storage (Bin),5/20/2021,5/20/2021,0,0,0,0,0,Raw,53,35.12
2020120803,2020,16,BKR10,66170,Burbank,Out-of-Storage (Bin),12/8/2020,12/8/2020,1.077,0.39,0.1,0.28,2.23,Blanch,5,11.33
2020120803,2020,16,BKR10,66170,Burbank,Out-of-Storage (Bin),12/8/2020,12/8/2020,1.077,0.39,0.1,0.28,2.23,Raw,15,15.78
2021010720,2020,16,BKR10,66170,Burbank,Out-of-Storage (Bin),1/7/2021,1/7/2021,1.076,0.8,0.15,0.39,3.15,Blanch,12,14.46
2021010720,2020,16,BKR10,66170,Burbank,Out-of-Storage (Bin),1/7/2021,1/7/2021,1.076,0.8,0.15,0.39,3.15,Raw,31,23.14
2021010721,2020,16,BKR11,660100,Burbank,Out-of-Storage (Bin),1/7/2021,1/7/2021,1.085,0.59,0.22,0.36,2.53,Blanch,4,10.04
2021010721,2020,16,BKR11,660100,Burbank,Out-of-Storage (Bin),1/7/2021,1/7/2021,1.085,0.59,0.22,0.36,2.53,Raw,22,19.61
2020120813,2020,16,BKR11,66110,Burbank,Out-of-Storage (Bin),12/8/2020,12/8/2020,1.083,0.39,0.11,0.28,1.76,Blanch,5,10.18
2020120813,2020,16,BKR11,66110,Burbank,Out-of-Storage (Bin),12/8/2020,12/8/2020,1.083,0.39,0.11,0.28,1.76,Raw,11,14.38
2019120509,2019,16,BKR03,660320,Burbank,Out-of-Storage (Bin),12/5/2019,12/5/2019,1.082,0.61,0.85,0.57,3.53,Blanch,48,39.46
2019120509,2019,16,BKR03,660320,Burbank,Out-of-Storage (Bin),12/5/2019,12/5/2019,1.082,0.61,0.85,0.57,3.53,Raw,49,36.64
2019070904,2018,16,Unknown,660480,Burbank,Direct From Field,7/9/2019,7/9/2019,0,0,0,0,0,,,
2021051402,2020,16,BKR10,660520,Burbank,Out-of-Storage (Bin),5/14/2021,5/14/2021,0,0,0,0,0,Blanch,2,8.93
2021051402,2020,16,BKR10,660520,Burbank,Out-of-Storage (Bin),5/14/2021,5/14/2021,0,0,0,0,0,Raw,32,26.01
2021010722,2020,16,BKR10,660520,Burbank,Out-of-Storage (Bin),1/7/2021,1/7/2021,1.084,0.56,0.1,0.3,1.67,Blanch,2,7.65
2021010722,2020,16,BKR10,660520,Burbank,Out-of-Storage (Bin),1/7/2021,1/7/2021,1.084,0.56,0.1,0.3,1.67,Raw,6,12.4
2020120802,2020,16,BKR11,66880,Burbank,Out-of-Storage (Bin),12/8/2020,12/8/2020,1.078,0.38,0.14,0.25,1.83,Blanch,2,8.49
2020120802,2020,16,BKR11,66880,Burbank,Out-of-Storage (Bin),12/8/2020,12/8/2020,1.078,0.38,0.14,0.25,1.83,Raw,13,14.86
2021010723,2020,16,BKR11,66880,Burbank,Out-of-Storage (Bin),1/7/2021,1/7/2021,1.081,0.85,0.09,0.24,1.79,Blanch,3,9.05
