Type,12/31/2012,12/31/2013,12/31/2014,12/31/2015,12/31/2016,12/31/2017,12/31/2018,12/31/2019,12/31/2020,12/31/2021
Expense - Feed Stock and Seed,106310356,109879894,117037273,110139373,99521129,104467360,104907518,109141224,108850655,121393427
Expense - Chem and Fert,42878811,42979155,43899117,40174257,38771977,37748808,38650286,37849049,40953197,43999998
Expense - Fuel and Oil,16523200,17340833,17701950,13166472,12155180,12761072,13187914,13193921,11983917,15838966
Expense - Electricity,5391288,5504585,5901683,5722547,5585083,5805753,6052989,5745542,5964432,6117742
Expense - Repair,15503432,16143851,16800104,15707619,15068254,15808561,14539026,14677013,16664917,17853834
Expense - Custom Work,4859017,4583450,5869203,4808473,4434816,4570048,4340551,5160715,5064795,5440625
Expense - Marketing Storage Transport,9209724,7977659,10818802,9162732,9722609,9823296,11889435,10105633,11093742,11531621
Expense - Misc,34844662,33721226,35780089,35255142,34899126,35625683,35065546,35564717,37190344,39667662
Expense Capital Consumption,33188576,36836206,48662326,40526322,43383027,35733727,29693092,28301313,28930429,29938633
Expense - Property Tax and Fees,11271797,11619048,13503398,12712916,11897235,12739979,12716605,13297738,14045548,15143940
Expense - Labor,32109633,32313114,34517740,32102649,34425216,36266281,34148554,35053362,36969340,38261424
Expense - Interest,15790797,14035697,14796891,15394045,16286603,17475398,19418586,19773909,18809328,20032214
Expense - Land Rent,20508946,22841493,20661244,20081818,19473379,17643882,15473111,16825456,17976206,18891279
