DATE,Fed-held Residential MBS,Fed-held Commerical MBS,Fed Total Assets
2002-12-18,0.0,0.0,720761.0
2002-12-25,0.0,0.0,733136.0
2003-01-01,0.0,0.0,732202.0
2003-01-08,0.0,0.0,724902.0
2003-01-15,0.0,0.0,721325.0
2003-01-22,0.0,0.0,737069.0
2003-01-29,0.0,0.0,714316.0
2003-02-05,0.0,0.0,720885.0
2003-02-12,0.0,0.0,714547.0
2003-02-19,0.0,0.0,731553.0
2003-02-26,0.0,0.0,723222.0
2003-03-05,0.0,0.0,723792.0
2003-03-12,0.0,0.0,718105.0
2003-03-19,0.0,0.0,731000.0
2003-03-26,0.0,0.0,726250.0
2003-04-02,0.0,0.0,733626.0
2003-04-09,0.0,0.0,728975.0
2003-04-16,0.0,0.0,747062.0
2003-04-23,0.0,0.0,733481.0
2003-04-30,0.0,0.0,747460.0
2003-05-07,0.0,0.0,734390.0
2003-05-14,0.0,0.0,741413.0
2003-05-21,0.0,0.0,735854.0
2003-05-28,0.0,0.0,745948.0
2003-06-04,0.0,0.0,732753.0
2003-06-11,0.0,0.0,744296.0
2003-06-18,0.0,0.0,737093.0
2003-06-25,0.0,0.0,745266.0
2003-07-02,0.0,0.0,741370.0
2003-07-09,0.0,0.0,745602.0
2003-07-16,0.0,0.0,738954.0
2003-07-23,0.0,0.0,746892.0
2003-07-30,0.0,0.0,741559.0
2003-08-06,0.0,0.0,735147.0
2003-08-13,0.0,0.0,736612.0
2003-08-20,0.0,0.0,751992.0
2003-08-27,0.0,0.0,741742.0
2003-09-03,0.0,0.0,751353.0
2003-09-10,0.0,0.0,738300.0
2003-09-17,0.0,0.0,745210.0
2003-09-24,0.0,0.0,742314.0
2003-10-01,0.0,0.0,754446.0
2003-10-08,0.0,0.0,738093.0
2003-10-15,0.0,0.0,755556.0
2003-10-22,0.0,0.0,744851.0
2003-10-29,0.0,0.0,748784.0
2003-11-05,0.0,0.0,745371.0
2003-11-12,0.0,0.0,745761.0
2003-11-19,0.0,0.0,745600.0
2003-11-26,0.0,0.0,758083.0
2003-12-03,0.0,0.0,751054.0
2003-12-10,0.0,0.0,757590.0
2003-12-17,0.0,0.0,755091.0
2003-12-24,0.0,0.0,767978.0
2003-12-31,0.0,0.0,772995.0
2004-01-07,0.0,0.0,756832.0
2004-01-14,0.0,0.0,754119.0
2004-01-21,0.0,0.0,777059.0
2004-01-28,0.0,0.0,756841.0
2004-02-04,0.0,0.0,755445.0
2004-02-11,0.0,0.0,752243.0
2004-02-18,0.0,0.0,759685.0
2004-02-25,0.0,0.0,752004.0
2004-03-03,0.0,0.0,756199.0
2004-03-10,0.0,0.0,750831.0
2004-03-17,0.0,0.0,761524.0
2004-03-24,0.0,0.0,752472.0
2004-03-31,0.0,0.0,761743.0
2004-04-07,0.0,0.0,754869.0
2004-04-14,0.0,0.0,764814.0
2004-04-21,0.0,0.0,759012.0
2004-04-28,0.0,0.0,774058.0
2004-05-05,0.0,0.0,759949.0
2004-05-12,0.0,0.0,765811.0
2004-05-19,0.0,0.0,757979.0
2004-05-26,0.0,0.0,771892.0
2004-06-02,0.0,0.0,764893.0
2004-06-09,0.0,0.0,773123.0
2004-06-16,0.0,0.0,762755.0
2004-06-23,0.0,0.0,776150.0
2004-06-30,0.0,0.0,780361.0
2004-07-07,0.0,0.0,778684.0
2004-07-14,0.0,0.0,776261.0
2004-07-21,0.0,0.0,777591.0
2004-07-28,0.0,0.0,774561.0
2004-08-04,0.0,0.0,772807.0
2004-08-11,0.0,0.0,769982.0
2004-08-18,0.0,0.0,768216.0
2004-08-25,0.0,0.0,776216.0
2004-09-01,0.0,0.0,786094.0
2004-09-08,0.0,0.0,789090.0
2004-09-15,0.0,0.0,790069.0
2004-09-22,0.0,0.0,783030.0
2004-09-29,0.0,0.0,787410.0
2004-10-06,0.0,0.0,782750.0
2004-10-13,0.0,0.0,796011.0
2004-10-20,0.0,0.0,786093.0
2004-10-27,0.0,0.0,792175.0
2004-11-03,0.0,0.0,791585.0
2004-11-10,0.0,0.0,801309.0
2004-11-17,0.0,0.0,794972.0
2004-11-24,0.0,0.0,810970.0
2004-12-01,0.0,0.0,807973.0
2004-12-08,0.0,0.0,809391.0
2004-12-15,0.0,0.0,807896.0
2004-12-22,0.0,0.0,812136.0
2004-12-29,0.0,0.0,811962.0
2005-01-05,0.0,0.0,816763.0
2005-01-12,0.0,0.0,799268.0
2005-01-19,0.0,0.0,808220.0
2005-01-26,0.0,0.0,808012.0
2005-02-02,0.0,0.0,805705.0
2005-02-09,0.0,0.0,798620.0
2005-02-16,0.0,0.0,796496.0
2005-02-23,0.0,0.0,805727.0
2005-03-02,0.0,0.0,802675.0
2005-03-09,0.0,0.0,800358.0
2005-03-16,0.0,0.0,808153.0
2005-03-23,0.0,0.0,798072.0
2005-03-30,0.0,0.0,808487.0
2005-04-06,0.0,0.0,798095.0
2005-04-13,0.0,0.0,806739.0
2005-04-20,0.0,0.0,802969.0
2005-04-27,0.0,0.0,810697.0
2005-05-04,0.0,0.0,803447.0
2005-05-11,0.0,0.0,809073.0
2005-05-18,0.0,0.0,802334.0
2005-05-25,0.0,0.0,810921.0
2005-06-01,0.0,0.0,818300.0
2005-06-08,0.0,0.0,815308.0
2005-06-15,0.0,0.0,812235.0
2005-06-22,0.0,0.0,811179.0
2005-06-29,0.0,0.0,810968.0
2005-07-06,0.0,0.0,822944.0
2005-07-13,0.0,0.0,809526.0
2005-07-20,0.0,0.0,817735.0
2005-07-27,0.0,0.0,815144.0
2005-08-03,0.0,0.0,819529.0
2005-08-10,0.0,0.0,809540.0
2005-08-17,0.0,0.0,815282.0
2005-08-24,0.0,0.0,812315.0
2005-08-31,0.0,0.0,824574.0
2005-09-07,0.0,0.0,824448.0
2005-09-14,0.0,0.0,824796.0
2005-09-21,0.0,0.0,813996.0
2005-09-28,0.0,0.0,824750.0
2005-10-05,0.0,0.0,818227.0
2005-10-12,0.0,0.0,828989.0
2005-10-19,0.0,0.0,815465.0
2005-10-26,0.0,0.0,820062.0
2005-11-02,0.0,0.0,815926.0
2005-11-09,0.0,0.0,825884.0
2005-11-16,0.0,0.0,824451.0
2005-11-23,0.0,0.0,834156.0
2005-11-30,0.0,0.0,836054.0
2005-12-07,0.0,0.0,834325.0
2005-12-14,0.0,0.0,832009.0
2005-12-21,0.0,0.0,849409.0
2005-12-28,0.0,0.0,848909.0
2006-01-04,0.0,0.0,854174.0
2006-01-11,0.0,0.0,830872.0
2006-01-18,0.0,0.0,838675.0
2006-01-25,0.0,0.0,830100.0
2006-02-01,0.0,0.0,833289.0
2006-02-08,0.0,0.0,828904.0
2006-02-15,0.0,0.0,836281.0
2006-02-22,0.0,0.0,842380.0
2006-03-01,0.0,0.0,840566.0
2006-03-08,0.0,0.0,840528.0
2006-03-15,0.0,0.0,844020.0
2006-03-22,0.0,0.0,839196.0
2006-03-29,0.0,0.0,834635.0
2006-04-05,0.0,0.0,835979.0
2006-04-12,0.0,0.0,837968.0
2006-04-19,0.0,0.0,837358.0
2006-04-26,0.0,0.0,846026.0
2006-05-03,0.0,0.0,845192.0
2006-05-10,0.0,0.0,839651.0
2006-05-17,0.0,0.0,839649.0
2006-05-24,0.0,0.0,841967.0
2006-05-31,0.0,0.0,853554.0
2006-06-07,0.0,0.0,850218.0
2006-06-14,0.0,0.0,847022.0
2006-06-21,0.0,0.0,845940.0
2006-06-28,0.0,0.0,845679.0
2006-07-05,0.0,0.0,853082.0
2006-07-12,0.0,0.0,845357.0
2006-07-19,0.0,0.0,850997.0
2006-07-26,0.0,0.0,842511.0
2006-08-02,0.0,0.0,851664.0
2006-08-09,0.0,0.0,841073.0
2006-08-16,0.0,0.0,843977.0
2006-08-23,0.0,0.0,838957.0
2006-08-30,0.0,0.0,852299.0
2006-09-06,0.0,0.0,851521.0
2006-09-13,0.0,0.0,842017.0
2006-09-20,0.0,0.0,839356.0
2006-09-27,0.0,0.0,851033.0
2006-10-04,0.0,0.0,843857.0
2006-10-11,0.0,0.0,861367.0
2006-10-18,0.0,0.0,845439.0
2006-10-25,0.0,0.0,853681.0
2006-11-01,0.0,0.0,857192.0
2006-11-08,0.0,0.0,860034.0
2006-11-15,0.0,0.0,856561.0
2006-11-22,0.0,0.0,866320.0
2006-11-29,0.0,0.0,857498.0
2006-12-06,0.0,0.0,864015.0
2006-12-13,0.0,0.0,855534.0
2006-12-20,0.0,0.0,866962.0
2006-12-27,0.0,0.0,871162.0
2007-01-03,0.0,0.0,875886.0
2007-01-10,0.0,0.0,856084.0
2007-01-17,0.0,0.0,860802.0
2007-01-24,0.0,0.0,852556.0
2007-01-31,0.0,0.0,866559.0
2007-02-07,0.0,0.0,855950.0
2007-02-14,0.0,0.0,868051.0
2007-02-21,0.0,0.0,870820.0
2007-02-28,0.0,0.0,878205.0
2007-03-07,0.0,0.0,865685.0
2007-03-14,0.0,0.0,876868.0
2007-03-21,0.0,0.0,863755.0
2007-03-28,0.0,0.0,870656.0
2007-04-04,0.0,0.0,863206.0
2007-04-11,0.0,0.0,866525.0
2007-04-18,0.0,0.0,862347.0
2007-04-25,0.0,0.0,880456.0
2007-05-02,0.0,0.0,892372.0
2007-05-09,0.0,0.0,876213.0
2007-05-16,0.0,0.0,860378.0
2007-05-23,0.0,0.0,874929.0
2007-05-30,0.0,0.0,878220.0
2007-06-06,0.0,0.0,873911.0
2007-06-13,0.0,0.0,865881.0
2007-06-20,0.0,0.0,867099.0
2007-06-27,0.0,0.0,865949.0
2007-07-04,0.0,0.0,878608.0
2007-07-11,0.0,0.0,873060.0
2007-07-18,0.0,0.0,873966.0
2007-07-25,0.0,0.0,864700.0
2007-08-01,0.0,0.0,871042.0
2007-08-08,0.0,0.0,866294.0
2007-08-15,0.0,0.0,865720.0
2007-08-22,0.0,0.0,863509.0
2007-08-29,0.0,0.0,873589.0
2007-09-05,0.0,0.0,872896.0
2007-09-12,0.0,0.0,887233.0
2007-09-19,0.0,0.0,868615.0
2007-09-26,0.0,0.0,890671.0
2007-10-03,0.0,0.0,869874.0
2007-10-10,0.0,0.0,888061.0
2007-10-17,0.0,0.0,870193.0
2007-10-24,0.0,0.0,881978.0
2007-10-31,0.0,0.0,884044.0
2007-11-07,0.0,0.0,886556.0
2007-11-14,0.0,0.0,890831.0
2007-11-21,0.0,0.0,891596.0
2007-11-28,0.0,0.0,879893.0
2007-12-05,0.0,0.0,883464.0
2007-12-12,0.0,0.0,882436.0
2007-12-19,0.0,0.0,888692.0
2007-12-26,0.0,0.0,891158.0
2008-01-02,0.0,0.0,923058.0
2008-01-09,0.0,0.0,881323.0
2008-01-16,0.0,0.0,894245.0
2008-01-23,0.0,0.0,878400.0
2008-01-30,0.0,0.0,900810.0
2008-02-06,0.0,0.0,871610.0
2008-02-13,0.0,0.0,883544.0
2008-02-20,0.0,0.0,880047.0
2008-02-27,0.0,0.0,894294.0
2008-03-05,0.0,0.0,881822.0
2008-03-12,0.0,0.0,897089.0
2008-03-19,0.0,0.0,889065.0
2008-03-26,0.0,0.0,894437.0
2008-04-02,0.0,0.0,884297.0
2008-04-09,0.0,0.0,893609.0
2008-04-16,0.0,0.0,882426.0
2008-04-23,0.0,0.0,886483.0
2008-04-30,0.0,0.0,888721.0
2008-05-07,0.0,0.0,889757.0
2008-05-14,0.0,0.0,880605.0
2008-05-21,0.0,0.0,898913.0
2008-05-28,0.0,0.0,904977.0
2008-06-04,0.0,0.0,896444.0
2008-06-11,0.0,0.0,891195.0
2008-06-18,0.0,0.0,902927.0
2008-06-25,0.0,0.0,893196.0
2008-07-02,0.0,0.0,903620.0
