DATE,Unemployment Rate,Personal Saving Rate,New Privately-Owned Housing Units Started: Units in Buildings with 5 Units or More,Housing Inventory: Median Listing Price per Square Feet in the United States,Housing Inventory: Median Home Size in Square Feet in the United States,Total Construction Spending: Highway and Street in the United States,"Employment for Construction: Highway, Street, and Bridge Construction (NAICS 2373) in the United States",Producer Price Index by Commodity: Farm Products: Russet Potatoes,Average Price: Potato Chips (Cost per 16 Ounces) in U.S. City Average,"Average Price: Potatoes, White (Cost per Pound/453.6 Grams) in U.S. City Average",New Privately-Owned Housing Units Started: Total Units,New Privately-Owned Housing Units Started: Single-Family Units,New Privately-Owned Housing Units Started: Units in Buildings with 2-4 Units
1950-01-31,6.5,,,,,,,,,,,,
1950-02-28,6.4,,,,,,,,,,,,
1950-03-31,6.3,,,,,,,,,,,,
1950-04-30,5.8,,,,,,,,,,,,
1950-05-31,5.5,,,,,,,,,,,,
1950-06-30,5.4,,,,,,,,,,,,
1950-07-31,5.0,,,,,,,,,,,,
1950-08-31,4.5,,,,,,,,,,,,
1950-09-30,4.4,,,,,,,,,,,,
1950-10-31,4.2,,,,,,,,,,,,
1950-11-30,4.2,,,,,,,,,,,,
1950-12-31,4.3,,,,,,,,,,,,
1951-01-31,3.7,,,,,,,,,,,,
1951-02-28,3.4,,,,,,,,,,,,
1951-03-31,3.4,,,,,,,,,,,,
1951-04-30,3.1,,,,,,,,,,,,
1951-05-31,3.0,,,,,,,,,,,,
1951-06-30,3.2,,,,,,,,,,,,
1951-07-31,3.1,,,,,,,,,,,,
1951-08-31,3.1,,,,,,,,,,,,
1951-09-30,3.3,,,,,,,,,,,,
1951-10-31,3.5,,,,,,,,,,,,
1951-11-30,3.5,,,,,,,,,,,,
1951-12-31,3.1,,,,,,,,,,,,
1952-01-31,3.2,,,,,,,,,,,,
1952-02-29,3.1,,,,,,,,,,,,
1952-03-31,2.9,,,,,,,,,,,,
1952-04-30,2.9,,,,,,,,,,,,
1952-05-31,3.0,,,,,,,,,,,,
1952-06-30,3.0,,,,,,,,,,,,
1952-07-31,3.2,,,,,,,,,,,,
